naam;aantal_locs;fractie_locs;gem_bedekking;eenheid;nednaam
Chara globularis;124;0,9687500;75,83870967741936;%;Breekbaar kransblad
Myriophyllum spicatum;50;0,3906250;1,44000000000000;%;Aarvederkruid
Ceratophyllum demersum;22;0,1718750;2,77272727272727;%;Grof hoornblad
Stuckenia pectinata;53;0,4140625;3,62264150943396;%;Schedefonteinkruid
Potamogeton pusillus;7;0,0546875;9,00000000000000;%;Tenger fonteinkruid
Elodea nuttallii;24;0,1875000;9,45833333333333;%;Smalle waterpest
Chara contraria;4;0,0312500;1,25000000000000;%;Brokkelig kransblad
Chara vulgaris;1;0,0078125;1,00000000000000;%;Gewoon kransblad
Nuphar lutea;1;0,0078125;0,50000000000000;%;Gele plomp
Potamogeton crispus;2;0,0156250;1,00000000000000;%;Gekroesd fonteinkruid
